TABLE,RUN,NUM_LABELS,MIN,P25,P50,P75,P90,P95,P99,MAX,MEAN,QPS
cohere_wikipedia_22_12_1m_angular_uniform_diskann_filt,1,1,0.99,1.14,9.72,14.87,16.59,17.37,18.88,31.35,8.06,124.00
cohere_wikipedia_22_12_1m_angular_uniform_diskann_filt,1,2,1.00,1.22,13.81,15.88,17.27,17.91,19.24,28.64,11.25,88.88
cohere_wikipedia_22_12_1m_angular_uniform_diskann_filt,1,4,1.06,12.65,14.56,16.10,17.35,17.83,19.28,29.13,13.73,72.84
cohere_wikipedia_22_12_1m_angular_uniform_diskann_filt,1,8,1.28,13.22,14.76,16.23,17.46,18.15,19.71,26.64,14.61,68.46
cohere_wikipedia_22_12_1m_angular_uniform_diskann_filt,1,16,7.64,13.32,14.92,16.38,17.60,18.37,19.89,26.03,14.79,67.61
cohere_wikipedia_22_12_1m_angular_uniform_diskann_filt,1,32,8.22,13.21,14.91,16.34,17.69,18.74,21.68,25.44,14.83,67.42
cohere_wikipedia_22_12_1m_angular_uniform_diskann_filt,1,64,7.30,13.53,15.18,16.89,18.40,19.92,24.44,28.14,15.26,65.52
cohere_wikipedia_22_12_1m_angular_uniform_diskann_filt,2,1,0.98,1.14,10.77,14.73,16.39,17.38,19.00,26.63,8.26,121.05
cohere_wikipedia_22_12_1m_angular_uniform_diskann_filt,2,2,1.00,1.51,13.68,15.39,16.79,17.56,18.74,21.06,11.05,90.47
cohere_wikipedia_22_12_1m_angular_uniform_diskann_filt,2,4,1.05,12.89,14.70,16.19,17.44,18.18,19.83,24.10,13.93,71.77
cohere_wikipedia_22_12_1m_angular_uniform_diskann_filt,2,8,6.38,13.22,14.88,16.29,17.53,18.07,19.75,26.48,14.69,68.09
cohere_wikipedia_22_12_1m_angular_uniform_diskann_filt,2,16,8.60,13.19,14.87,16.32,17.49,18.28,21.80,28.73,14.77,67.71
cohere_wikipedia_22_12_1m_angular_uniform_diskann_filt,2,32,7.29,13.19,14.93,16.53,17.79,18.77,22.84,28.74,14.90,67.10
cohere_wikipedia_22_12_1m_angular_uniform_diskann_filt,2,64,7.07,13.09,14.74,16.35,17.82,19.20,23.81,27.68,14.78,67.68
cohere_wikipedia_22_12_1m_angular_uniform,1,1,204.40,206.08,277.69,279.36,280.07,280.47,282.24,324.85,244.37,4.09
cohere_wikipedia_22_12_1m_angular_uniform,1,2,207.22,280.69,283.99,339.42,343.22,345.42,349.26,405.13,283.03,3.53
cohere_wikipedia_22_12_1m_angular_uniform,1,4,213.01,293.33,349.47,401.43,407.60,453.31,460.62,496.95,351.05,2.85
cohere_wikipedia_22_12_1m_angular_uniform,1,8,223.58,413.22,464.42,514.48,561.56,567.89,614.49,661.75,467.39,2.14
cohere_wikipedia_22_12_1m_angular_uniform,1,16,514.69,711.59,761.62,813.81,857.86,895.94,949.78,1005.51,764.40,1.31
cohere_wikipedia_22_12_1m_angular_uniform,1,32,925.54,1128.00,1172.98,1229.16,1273.57,1293.65,1344.60,1411.68,1174.42,0.85
cohere_wikipedia_22_12_1m_angular_uniform,1,64,1707.58,1755.07,1767.61,1782.83,1804.80,1837.11,1870.63,1898.70,1772.29,0.56
cohere_wikipedia_22_12_1m_angular_uniform,2,1,206.23,209.86,278.71,285.50,290.42,292.20,294.74,350.07,248.67,4.02
cohere_wikipedia_22_12_1m_angular_uniform,2,2,208.52,212.86,285.59,332.57,344.64,345.83,348.28,358.15,280.54,3.56
cohere_wikipedia_22_12_1m_angular_uniform,2,4,213.63,290.86,348.04,401.51,404.26,452.62,456.55,476.00,345.93,2.89
cohere_wikipedia_22_12_1m_angular_uniform,2,8,223.16,410.75,461.86,510.95,559.09,564.23,611.20,657.21,465.23,2.15
cohere_wikipedia_22_12_1m_angular_uniform,2,16,509.10,706.20,753.33,799.37,846.02,884.18,926.39,998.44,761.79,1.31
cohere_wikipedia_22_12_1m_angular_uniform,2,32,938.10,1123.53,1167.08,1226.91,1268.46,1295.17,1335.91,1426.88,1173.22,0.85
cohere_wikipedia_22_12_1m_angular_uniform,2,64,1691.83,1738.45,1753.82,1768.56,1782.87,1795.16,1822.40,1851.41,1755.12,0.57
cohere_wikipedia_22_12_1m_angular_uniform_int,1,1,0.92,1.04,1.22,188.72,190.17,190.67,191.30,219.91,92.26,10.84
cohere_wikipedia_22_12_1m_angular_uniform_int,1,2,0.94,99.91,159.53,188.05,189.42,190.50,191.90,221.04,130.07,7.69
